Formula,CID,Type,Energy
I46Pb16Cs16Cl1C2H2,135046281,8H,-272.7115942
I46Pb16Cs16O1C2H3,71368517,AB,-289.07181835
I46Pb16Cs16O1N1C1,11051568,8H,-269.27271748
I46Pb16Cs16O2N1,23618828,8H,-260.25470716
I46Pb16Cs16O1N1C1H4,140584049,8H,-293.52677268
I1Pb16Cs16O2,157173515,8H,-246.32410902
I6Pb16Cs16,105053,AB,-231.11067754
I46Pb16Cs16O1N1C1H2,58619450,8H,-278.15527426
I46Pb16Cs16O2C1,101218269,8H,-265.42166087
I46Pb16Cs16Cl1C2H4,140816890,AB,-288.65282965
I46Pb16Cs16C3H1,162454502,AB,-272.23320951
I46Pb16Cs16C2H1,10964394,AB,-258.66593724
I46Pb16Cs16F1N1B1,58114169,AB,-255.27406358
I46Pb16Cs16C1B1H3,57847394,AB,-269.38189654
I46Pb16Cs16C3H6,58825830,AB,-316.28836396
I46Pb16Cs16N1C2H4,71417849,8H,-299.26658526
I46Pb16Cs16C2B1H3,129657743,8H,-284.78707024
I46Pb16Cs16N6,10290740,8H,-267.58670983
I1Pb16Cs16O1N1H1,59783154,AB,-256.1226044
I46Pb16Cs16O1B2H1,156621432,AB,-262.3673414
I46Pb16Cs16N1C2H4,59673869,8H,-298.78440754
I46Pb16Cs16N1C2H2,86144840,AB,-283.28876083
I46Pb16Cs16N2C1H4,101021057,AB,-299.95307826
I46Pb16Cs16N2C1H5,102460855,8H,-306.40642229
I46Pb16Cs16N2C1H1,12460342,AB,-274.44979245
I6Pb16Cs16,105053,8H,-231.1156169
I46Pb16Cs16C2H5,13351308,AB,-291.39792019
I46Pb16Cs16N1C2H4,58153045,AB,-297.6632636
I46Pb16Cs16N1C1B1H3,167376163,AB,-290.15304259
I46Pb16Cs16N1C1H2,140587702,8H,-267.0677063
I46Pb16Cs16N1C2H4,12368256,AB,-298.87771647
I46Pb16Cs16Br1O1,140361553,8H,-235.37624468
I46Pb16Cs16N1C1H2,140587702,AB,-267.18209457
I46Pb16Cs16C1B2H1,129710093,8H,-264.10718543
I46Pb16Cs16O3H1,162781858,8H,-259.82604807
I46Pb16Cs16N1C1B1H5,59341893,8H,-304.58680807
I46Pb16Cs16N2C1H1,13005318,AB,-278.39364828
I46Pb16Cs16Br1C1H2,11815827,8H,-253.89618214
I46Pb16Cs16O2C1H1,23680483,8H,-274.5873035
I46Pb16Cs16O1C1H3,13351303,AB,-271.46806826
I46Pb16Cs16N1C2H4,59854993,8H,-301.01687655
I46Pb16Cs16O2N1H2,140647104,AB,-274.06039408
I46Pb16Cs16N1C2H4,129875527,AB,-300.50414416
I46Pb16Cs16N1B1,58627710,8H,-245.06812883
I46Pb16Cs16N1C2H3,100982396,8H,-289.6195006
I46Pb16Cs16O1N1C1H2,160408535,AB,-279.93502897
I1Pb16Cs16B1H3,159330689,AB,-258.72175491
I46Pb16Cs16O1C2H3,101843487,8H,-291.2541625
I46Pb16Cs16O1N1C1,11366948,8H,-263.5601954
I46Pb16Cs16C1B1H2,58997489,AB,-261.58991087
I1Pb16Cs16C2H4,158336150,AB,-286.74050522
I46Pb16Cs16O2C1H3,142418848,AB,-287.62992902
I46Pb16Cs16C1B2H1,129710093,AB,-263.71148645
I46Pb16Cs16O2C1H3,22900039,8H,-287.72450377
I46Pb16Cs16C2B1H4,153059879,AB,-293.73169122
I46Pb16Cs16Br6,158491745,8H,-233.27921313
I46Pb16Cs16N1C1,23677314,8H,-253.18858678
I2Pb16Cs16C1H1,13215277,AB,-247.28231867
I46Pb16Cs16N1C1H4,12605453,8H,-283.79876545
I46Pb16Cs16Br2C1H1,11052230,8H,-249.06793988
I46Pb16Cs16Br1C2H2,85850053,8H,-271.41023251
I1Pb16Cs16Cl2,129740401,AB,-235.11685877
I46Pb16Cs16Br1C2H4,13358634,8H,-290.19278709
I46Pb16Cs16C3H3,12585694,AB,-291.53836465
I46Pb16Cs16C3H3,11018800,AB,-292.01696058
I46Pb16Cs16N1C1B1H1,58676901,AB,-269.41603502
I46Pb16Cs16Cl2F1,59522958,AB,-239.22054658
I46Pb16Cs16N1C1B1H3,167376163,8H,-290.48120269
I46Pb16Cs16N1C2H6,23696324,8H,-314.62688109
I46Pb16Cs16N1C2H2,162445248,8H,-284.38573868
I46Pb16Cs16Cl1N1H1,160040791,AB,-246.49591103
I46Pb16Cs16C2B1H8,23666607,8H,-327.61600877
I1Pb16Cs16Cl1C1H1,169448209,AB,-250.29559365
I1Pb16Cs16Br2,129678102,8H,-233.10275735
I46Pb16Cs16C3H7,22495153,AB,-322.54492015
I46Pb16Cs16Br1C2,19607366,AB,-253.69850131
I46Pb16Cs16N3H2,21063311,AB,-283.85952839
I46Pb16Cs16C3H7,22495153,8H,-323.8700594
I46Pb16Cs16B6,153438311,AB,-248.5889155
I46Pb16Cs16N1B1H5,139116698,8H,-286.8740186
I46Pb16Cs16O1C1H1,168737035,8H,-255.87626292
I46Pb16Cs16Cl1N1H1,160040791,8H,-246.48724158
I46Pb16Cs16O1N1C1H4,23685604,AB,-293.4843208
I46Pb16Cs16N1C1H4,12605453,AB,-282.04843621
I46Pb16Cs16F1C2H2,20820566,AB,-275.89140201
I46Pb16Cs16C2B1H8,160055680,AB,-327.08419482
I1Pb16Cs16O1C1H2,23670958,AB,-269.92117392
I46Pb16Cs16O1C1B1H6,135048829,AB,-308.8596912
I46Pb16Cs16Br1C2,19607366,8H,-253.53114559
I46Pb16Cs16F1C2H4,21396528,8H,-294.21263602
I46Pb16Cs16Br1Cl2,23694843,8H,-235.08826887
I46Pb16Cs16F1C1H2,13351304,8H,-258.89159608
I46Pb16Cs16F1C2,160837484,AB,-257.80987888
I46Pb16Cs16N1C1H4,13351302,AB,-282.51884553
I1Pb16Cs16Br1C1H3,59187066,AB,-267.96038777
I46Pb16Cs16Br1O1C1H2,23670955,AB,-271.16627095
I46Pb16Cs16Cl1B1H3,161111143,8H,-261.23240309
I1Pb16Cs16C2H6,59894696,AB,-300.76440876
I46Pb16Cs16O1C2H5,23661847,8H,-306.46732291
I46Pb16Cs16Br1Cl2,23694843,AB,-235.27202286
I46Pb16Cs16N1C2H4,129875527,8H,-300.63983795
I46Pb16Cs16B6,153438311,8H,-249.46615553
I46Pb16Cs16N1C2H6,129678136,AB,-315.75808724
I46Pb16Cs16Br1C2H2,85850053,AB,-271.55063289
I46Pb16Cs16N3H2,21063311,8H,-284.27588127
I1Pb16Cs16O1,140455213,8H,-235.36924839
I46Pb16Cs16F1O1,22967321,8H,-238.57664259
I46Pb16Cs16N1C2H3,100982396,AB,-290.60622562
I46Pb16Cs16F2B1,18727909,8H,-253.09577307
I46Pb16Cs16Br1Cl1C1H1,11815407,AB,-251.04584556
I1Pb16Cs16N1C1H3,58529206,8H,-280.42766457
I46Pb16Cs16N1C2H6,140659928,AB,-315.48837078
I46Pb16Cs16F1O1C1H2,140440825,8H,-275.55378702
I2Pb16Cs16B1,20829522,8H,-236.54847463
I46Pb16Cs16O1N1C1,11378442,8H,-269.25884102
I46Pb16Cs16N1C1B1,20587905,AB,-262.66134276
I46Pb16Cs16N1C2H1,101754802,AB,-275.30419759
I46Pb16Cs16O1C2H1,157489353,8H,-274.76001116
I1Pb16Cs16F1C1H3,58841526,AB,-272.92121424
I46Pb16Cs16F1C2H2,71417853,AB,-276.44386711
I46Pb16Cs16O2B1H2,59091021,8H,-277.97664976
I46Pb16Cs16O1C1H2,59951885,8H,-264.42893862
I46Pb16Cs16O1B1,166048945,8H,-247.59343735
I46Pb16Cs16O2N1H2,171457097,8H,-272.59015731
I46Pb16Cs16C1B1H2,58997489,8H,-260.88128701
I46Pb16Cs16O1C2H5,140678060,8H,-304.53495667
I46Pb16Cs16F2N1,59815174,8H,-246.2691228
I46Pb16Cs16Cl1C2H2,71352770,8H,-272.61718014
I46Pb16Cs16O1C2H3,71335495,AB,-289.10330171
I46Pb16Cs16O1C1H1,22944142,8H,-256.22407351
I46Pb16Cs16O1C1B1,23517219,8H,-259.08642532
I46Pb16Cs16O1C2H5,140678060,AB,-304.80244611
I1Pb16Cs16C2,14925096,AB,-253.07502664
I46Pb16Cs16N2C1H1,12460342,8H,-274.46084423
I46Pb16Cs16Cl6,109374094,8H,-235.3075696
I46Pb16Cs16N2C1H3,129694264,AB,-290.38952225
I46Pb16Cs16O2H1,21526826,8H,-250.32763858
I46Pb16Cs16O1N1C1H2,101558437,8H,-283.75851954
I46Pb16Cs16O1N1C1H2,140553376,8H,-283.78567113
I46Pb16Cs16O1N1C1,11378442,AB,-269.34441075
I46Pb16Cs16O2B1,123308,AB,-266.70770204
I1Pb16Cs16C2H2,129737715,AB,-270.51542385
I46Pb16Cs16Br2Cl1,23697866,8H,-233.66783204
I46Pb16Cs16Cl6,109374094,AB,-235.38329555
I46Pb16Cs16O1C2H3,20744931,8H,-291.00065051
I46Pb16Cs16F1C2H4,20745101,AB,-290.65006913
I46Pb16Cs16N1C1,23677314,AB,-253.30793219
I1Pb16Cs16Br2,129678102,AB,-232.98583382
I46Pb16Cs16N2H1,161759608,8H,-258.05538314
I46Pb16Cs16C2H3,57823227,8H,-274.81250125
I46Pb16Cs16O2B1,123308,8H,-266.68185211
I46Pb16Cs16N1C2H4,129657746,8H,-296.8361179
I46Pb16Cs16Br2Cl1,23686678,AB,-234.2958856
I46Pb16Cs16Cl1C2,12607731,AB,-255.14425689
I1Pb16Cs16O2,157173515,AB,-246.2228422
I46Pb16Cs16C3H5,10986147,AB,-308.493475
I46Pb16Cs16N1C1H2,129657214,8H,-265.479758
I1Pb16Cs16B1,59780101,AB,-230.61369307
I46Pb16Cs16O2C1H3,22960788,AB,-282.60873073
I46Pb16Cs16O2N1,23618828,AB,-260.31515662
I1Pb16Cs16O1N1H1,59783154,8H,-256.06913142
I46Pb16Cs16O2C1H1,102216787,8H,-274.54280568
I2Pb16Cs16C1H1,13215277,8H,-247.57370329
I46Pb16Cs16N1B1H2,139260950,8H,-261.71113647
I46Pb16Cs16Br1O2,129708031,8H,-244.19044089
I46Pb16Cs16F1C1H2,13351304,AB,-258.94977575
I2Pb16Cs16C1H3,20829530,AB,-266.90183328
I46Pb16Cs16O1C2H3,71335495,8H,-289.25992177
I46Pb16Cs16Cl1O1C1H2,23670957,AB,-272.15319311
I46Pb16Cs16N2C1H5,102460855,AB,-307.60814203
I46Pb16Cs16O1C2H1,157489353,AB,-274.86625278
I46Pb16Cs16O1B2H1,156621432,8H,-263.60463985
I46Pb16Cs16N1B1H1,161103746,8H,-256.49222474
I46Pb16Cs16C2B1H8,23666607,AB,-327.49204358
I46Pb16Cs16O1C2H3,20744931,AB,-291.12872141
I46Pb16Cs16O2N1H2,171457097,AB,-272.31306018
I46Pb16Cs16Cl1O2,58273116,8H,-245.76906773
I46Pb16Cs16N1C2H2,11040616,AB,-283.16561189
I46Pb16Cs16Cl1O1C1,58482386,8H,-257.12090911
I46Pb16Cs16Br1C1H2,11815827,AB,-254.78991869
I46Pb16Cs16O2C1H1,23680483,AB,-274.56015842
I46Pb16Cs16N1C2H4,59673869,AB,-298.92738637
I46Pb16Cs16Cl1O2,129692527,8H,-244.62367129
I46Pb16Cs16O3H1,162781858,AB,-260.1324234
I46Pb16Cs16N1C1B1H3,131710163,8H,-288.98613039
I46Pb16Cs16C2B1H2,71330138,AB,-277.76596489
I46Pb16Cs16Cl1C1H2,11768494,8H,-255.99067835
I6Pb16Cs16,58604523,8H,-231.13516676
I46Pb16Cs16C3H3,14487815,AB,-291.46624863
I46Pb16Cs16O1N2H1,161449774,8H,-270.93813311
I46Pb16Cs16O1N2H3,58040490,AB,-284.41341898
I46Pb16Cs16O1B1H4,160703337,8H,-276.94252047
I1Pb16Cs16Cl1C1H1,169448209,8H,-249.86940803
I46Pb16Cs16Cl1C2H2,71352770,AB,-272.70382052
I46Pb16Cs16O1C1H3,13351303,8H,-271.31352864
I46Pb16Cs16O1C2H3,22218824,AB,-288.9451881
I46Pb16Cs16O1C1H2,101059734,AB,-264.75100703
I46Pb16Cs16C2B1H5,134992350,8H,-300.37770987
I46Pb16Cs16O1N1,154169190,8H,-244.53711016
I1Pb16Cs16C2H2,129737715,8H,-270.33302762
I46Pb16Cs16N1C2H2,86144840,8H,-283.28915686
I46Pb16Cs16C2H3,57823227,AB,-275.0192084
I46Pb16Cs16N1C1B1H1,20776120,AB,-268.76204337
I46Pb16Cs16O1C2H5,162403047,AB,-304.55924936
I46Pb16Cs16N1B1H1,161103746,AB,-256.46984249
I46Pb16Cs16C3H5,10986147,8H,-308.5358359
I46Pb16Cs16F2C1H1,140354489,AB,-258.60643553
I46Pb16Cs16O1N1H2,23688916,AB,-262.74041248
I1Pb16Cs16F1C1H1,156024891,8H,-253.02117994
I46Pb16Cs16O2C1,101218269,AB,-265.81043817
I46Pb16Cs16C3H6,58825830,8H,-314.39917089
I46Pb16Cs16O1C1H1,168737035,AB,-255.63185098
I1Pb16Cs16C2H4,158336150,8H,-286.48922753
I46Pb16Cs16F1C2H2,20820566,8H,-275.87638872
I46Pb16Cs16O2C1H1,13132253,AB,-271.59392364
I1Pb16Cs16C1H2,11332549,8H,-253.80917873
I46Pb16Cs16O1C1B1H3,23718351,AB,-283.33472771
I46Pb16Cs16O1B1H1,23717161,8H,-251.5796206
I46Pb16Cs16O1C2H5,10887816,AB,-303.41373862
I46Pb16Cs16Cl1C1H2,11768494,AB,-256.03821642
I46Pb16Cs16N1C1H4,13351302,8H,-282.51819859
I46Pb16Cs16N1C2H2,10920438,8H,-285.96025089
I46Pb16Cs16F2C1H1,140354489,8H,-258.74792239
I46Pb16Cs16N2H1,161759608,AB,-257.92195985
I46Pb16Cs16N1C1B1,131664061,AB,-263.49050187
I46Pb16Cs16O1N1C1H4,23685604,8H,-293.25721898
I46Pb16Cs16N1C1B1H2,126968433,8H,-279.85263719
I46Pb16Cs16C2B1H5,134992350,AB,-300.74768978
I46Pb16Cs16Cl1B1H3,161111143,AB,-261.27374866
I46Pb16Cs16O1N1C1H2,101558437,AB,-283.75691583
I46Pb16Cs16O1C1H2,101059734,8H,-264.24270998
I46Pb16Cs16O1C1H2,59951885,AB,-264.75055899
I1Pb16Cs16Br1Cl1,23670141,8H,-233.89256322
I46Pb16Cs16N1C2H4,71417849,AB,-299.28212948
I46Pb16Cs16Br1C2H4,13358634,AB,-289.72897608
I46Pb16Cs16C2B1H6,23710048,AB,-310.73291806
I46Pb16Cs16N1C1B1,131664061,8H,-261.69822586
I46Pb16Cs16C2H3,18974580,AB,-274.89875945
I46Pb16Cs16Cl1C2,12607731,8H,-255.63571632
I46Pb16Cs16C2B1H2,71417848,AB,-277.93704673
I46Pb16Cs16N1C1,166048945,AB,-253.28187434
I46Pb16Cs16O2B1H1,161671995,AB,-271.45659763
I46Pb16Cs16N2C1H1,101102651,AB,-278.40175397
I46Pb16Cs16N1C2H6,58604523,AB,-314.76333473
I46Pb16Cs16N1C2H4,85789303,AB,-299.26051917
I46Pb16Cs16O2B1H1,161671995,8H,-271.16012225
I46Pb16Cs16F1C2H4,20745101,8H,-290.54952281
