,Compound - Canonicalized,Compound Complexity,Count - Hydrogen Bond Acceptor,Count - Hydrogen Bond Donor,Count - Rotatable Bond,Fingerprint - SubStructure Keys,IUPAC Name - Allowed,IUPAC Name - CAS-like Style,IUPAC Name - Markup,IUPAC Name - Preferred,IUPAC Name - Systematic,IUPAC Name - Traditional,InChI - Standard,InChIKey - Standard,Mass - Exact,Molecular Formula,Molecular Weight,SMILES - Absolute,SMILES - Connectivity,Topological - Polar Surface Area,Weight - MonoIsotopic,Count - Heavy Atom,Count - Atom Chiral,Count - Atom Chiral Def,Count - Atom Chiral Undef,Count - Bond Chiral,Count - Bond Chiral Def,Count - Bond Chiral Undef,Count - Isotope Atom,Count - Covalent Unit,Count - Tautomers,cid
0,1,13.5,1,0,0,00000371084000000400000000000000000000000000000000000000000000000000000000000018020000000000038000400000000000008000000200000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium chloroethylene,lithium chloroethene,lithium chloroethene,lithium chloroethene,lithium chloranylethene,lithium chloroethylene,InChI=1S/C2H2Cl.Li/c1-2-3;/h1-2H;/q-1;+1,QXRLWRULMWCDNG-UHFFFAOYSA-N,68.0005062,C2H2ClLi,68.5,[Li+].[CH-]=CCl,[Li+].[CH-]=CCl,0,68.0005062,4,0,0,0,0,0,0,0,2,-1,135046281
1,1,13.5,2,1,0,0000037108402000000000000000000000000000000000000000000000000000000000000000001A00000800000000A080020000000002008000000200000000000000000800000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium ethenol,lithium ethenol,lithium ethenol,lithium ethenol,lithium ethenol,lithium ethenol,InChI=1S/C2H3O.Li/c1-2-3;/h1-3H;/q-1;+1,CBTVJFOZMGZEBW-UHFFFAOYSA-N,50.03439315,C2H3LiO,50.0,[Li+].[CH-]=CO,[Li+].[CH-]=CO,20.2,50.03439315,4,0,0,0,0,0,0,0,2,-1,71368517
2,1,31,2,0,0,00000371000220200000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000002800000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium isocyanate,sodium isocyanate,sodium isocyanate,sodium isocyanate,sodium isocyanate,sodium isocyanate,InChI=1S/CNO.Na/c2-1-3;/q-1;+1,RVZHUQPIBHMAEX-UHFFFAOYSA-N,64.98775791,CNNaO,65.007,C(=[N-])=O.[Na+],C(=[N-])=O.[Na+],18.1,64.98775791,4,0,0,0,0,0,0,0,2,-1,11051568
3,1,7.5,3,0,0,00000371000230000040000000000000000000000000000000000000000000000000000000000000000400000000000000000000000040000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,"InChI=1S/K.HNO2/c;2-1-3/h;(H,2,3)/p-1",LEMJDBDGPTVGML-UHFFFAOYSA-M,84.95660973,KNO2-,85.104,N(=O)[O-].[K],N(=O)[O-].[K],52.5,84.95660973,4,0,0,0,0,0,0,0,2,-1,23618828
4,1,8,2,1,0,00000371800220200000000000000000000000000000000000000000000000000000000000000014000408000000000000040200001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium hydroxy(methyl)azanide,sodium hydroxy(methyl)azanide,sodium hydroxy(methyl)azanide,sodium hydroxy(methyl)azanide,sodium methyl(oxidanyl)azanide,sodium hydroxy(methyl)azanide,"InChI=1S/CH4NO.Na/c1-2-3;/h3H,1H3;/q-1;+1",GTKXUXVZUABHOW-UHFFFAOYSA-N,69.01905803,CH4NNaO,69.039,C[N-]O.[Na+],C[N-]O.[Na+],21.2,69.01905803,4,0,0,0,0,0,0,0,2,-1,140584049
5,1,13.5,2,0,0,00000371000030000002000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,cesium iodite,cesium iodite,cesium iodite,cesium iodite,cesium iodite,cesium iodite,"InChI=1S/Cs.HIO2/c;2-1-3/h;(H,2,3)/q+1;/p-1",ANTATUOZWOKGRP-UHFFFAOYSA-M,291.79975,CsIO2,291.809,[O-]I=O.[Cs+],[O-]I=O.[Cs+],40.1,291.79975,4,0,0,0,0,0,0,0,2,-1,157173515
6,1,3.2,1,0,0,00000371000000000043000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,potassium triiodide,potassium triiodide,potassium triiodide,potassium triiodide,potassium triiodide,potassium triiodide,InChI=1S/I3.K/c1-3-2;/q-1;+1,DKNPRRRKHAEUMW-UHFFFAOYSA-N,419.6771,I3K,419.8117,[K+].I[I-]I,[K+].I[I-]I,0,419.6771,4,0,0,0,0,0,0,0,2,-1,105053
7,1,15.5,3,1,0,00000371000220000000000008000000000000000000000000000000000000000000000000000014000408000000000000040000001000002000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,methanone oxime;rubidium(1+),methanone oxime;rubidium(1+),<I>N</I>-methanidylidenehydroxylamine;rubidium(1+),N-methanidylidenehydroxylamine;rubidium(1+),N-methanidylidenehydroxylamine;rubidium(1+),methanone oxime;rubidium(1+),"InChI=1S/CH2NO.Rb/c1-2-3;/h1,3H;/q-1;+1",WUFVVBISLDKFDZ-UHFFFAOYSA-N,128.92542842,CH2NORb,129.501,[CH-]=NO.[Rb+],[CH-]=NO.[Rb+],32.6,128.92542842,4,0,0,0,0,0,0,0,2,-1,58619450
8,1,13.5,2,0,0,00000371000030000040000000000000000000000000000000000000000000000000000000000002000000000000000000000008000000000800000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,"InChI=1S/CHO2.K/c2-1-3;/h(H,2,3);/q;+1/p-1",ZGUNNOCFBFKQFP-UHFFFAOYSA-M,82.95353572,CKO2,83.108,[C](=O)[O-].[K+],[C](=O)[O-].[K+],40.1,82.95353572,4,0,0,0,0,0,0,0,2,-1,101218269
9,1,6,1,0,0,00000371804000200400000000000000000000000000000000000000000000000000000000000018020000000000038000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium chloroethane,sodium chloroethane,sodium chloroethane,sodium chloroethane,sodium chloranylethane,sodium chloroethane,InChI=1S/C2H4Cl.Na/c1-2-3;/h1-2H2;/q-1;+1,UBVJFXLUJYNJTQ-UHFFFAOYSA-N,85.9899221,C2H4ClNa,86.49,[CH2-]CCl.[Na+],[CH2-]CCl.[Na+],0,85.9899221,4,0,0,0,0,0,0,0,2,-1,140816890
