CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_AB,Energy_8H,Energy_min,Energy_avg,Energy_diff,split
135046281,C2H2ClLi,[Li+].[CH-]=CCl,68.5,1,0,0.0,4,13.5,-2.7302012468,-2.727115942,-2.7302012468,-2.7286585944,0.0030853047999999,train
71368517,C2H3LiO,[Li+].[CH-]=CO,50.0,2,1,20.2,4,13.5,-2.8907181835,-2.8886230525000003,-2.8907181835,-2.889670618,0.0020951309999999,test
11051568,CNNaO,C(=[N-])=O.[Na+],65.007,2,0,18.1,4,31.0,-2.6935241393,-2.6927271748,-2.6935241393,-2.69312565705,0.0007969645000001,train
23618828,KNO2-,N(=O)[O-].[K],85.104,3,0,52.5,4,7.5,-2.6031515662,-2.6025470716,-2.6031515662,-2.6028493189,0.0006044945999996,train
140584049,CH4NNaO,C[N-]O.[Na+],69.039,2,1,21.2,4,8.0,-2.9296757085,-2.9352677268000003,-2.9352677268000003,-2.9324717176500004,0.0055920183000002,train
157173515,CsIO2,[O-]I=O.[Cs+],291.809,2,0,40.1,4,13.5,-2.462228422,-2.4632410902,-2.4632410902,-2.4627347561,0.0010126682,train
105053,I3K,[K+].I[I-]I,419.8117,1,0,0.0,4,3.2,-2.3111067754000003,-2.311156169,-2.311156169,-2.3111314722,4.93935999994477e-05,train
58619450,CH2NORb,[CH-]=NO.[Rb+],129.501,3,1,32.6,4,15.5,-2.7984199475,-2.7815527426,-2.7984199475,-2.78998634505,0.0168672049,val
101218269,CKO2,[C](=O)[O-].[K+],83.108,2,0,40.1,4,13.5,-2.6581043817,-2.6542166087,-2.6581043817,-2.6561604952,0.0038877730000002,val
140816890,C2H4ClNa,[CH2-]CCl.[Na+],86.49,1,0,0.0,4,6.0,-2.8865282965,-2.8870773908,-2.8870773908,-2.88680284365,0.0005490943000001,train
162454502,C3HLi,[Li+].[CH]C#[C-],44.0,1,0,0.0,4,29.8,-2.7223320951,-2.7151571498,-2.7223320951,-2.71874462245,0.0071749453,train
10964394,C2HK,C#[C-].[K+],64.13,1,0,0.0,3,10.8,-2.5866593724,-2.5864169773,-2.5866593724,-2.5865381748500003,0.0002423951000003,train
58114169,BFKN,[B][N-]F.[K+],82.92,2,0,1.0,4,8.0,-2.5527406358,-2.5410230402,-2.5527406358,-2.546881838,0.0117175955999999,train
57847394,CH3BNa,[B-]C.[Na+],48.84,1,0,0.0,3,4.8,-2.6938189654,-2.6848038125,-2.6938189654,-2.68931138895,0.0090151529000004,val
58825830,C3H6Rb,C[CH][CH2-].[Rb+],127.55,1,0,0.0,4,3.2,-3.1628836396000004,-3.1439917089,-3.1628836396000004,-3.15343767425,0.0188919307000006,test
71417849,C2H4LiN,[Li+].[CH-]=CN,49.0,2,1,26.0,4,13.5,-2.9928212948,-2.9926658526,-2.9928212948,-2.9927435737,0.0001554421999996,train
129657743,C2H3BLi,[Li+].[B]1C[CH-]1,44.8,1,0,0.0,4,15.5,-2.8512756944,-2.8478707024,-2.8512756944,-2.8495731984,0.0034049920000001,train
10290740,KN3,[N-]=[N+]=[N-].[K+],81.119,2,0,3.0,4,15.5,-2.6765235779,-2.6758670983000004,-2.6765235779,-2.6761953381000003,0.0006564795999994,val
59783154,HINNaO,[N-](O)I.[Na+],180.908,2,1,21.2,4,8.0,-2.561226044,-2.5606913142,-2.561226044,-2.5609586791,0.0005347298,train
156621432,B2HLiO,[Li+].[B][B-]O,45.6,2,1,20.2,4,6.0,-2.623673414,-2.6360463985,-2.6360463985,-2.62985990625,0.0123729845000002,train
59673869,C2H4NRb,C[C-]=N.[Rb+],127.53,2,1,23.9,4,13.5,-2.9892738637000003,-2.9878440754,-2.9892738637000003,-2.98855896955,0.0014297883000002,test
86144840,C2H2LiN,[Li+].[C-]#CN,47.0,2,1,26.0,4,32.5,-2.8328876083,-2.8328915686,-2.8328915686,-2.83288958845,3.960299999938854e-06,test
101021057,CH4LiN2-,[Li].[C-](N)N,51.0,3,2,52.0,4,2.8,-2.9995307826,-2.9905716332,-2.9995307826,-2.9950512079,0.0089591494000003,train
102460855,CH5LiN2,[Li+].C(N)[NH-],52.0,2,2,27.0,4,6.0,-3.0760814203,-3.0640642229000004,-3.0760814203,-3.0700728216,0.0120171973999996,train
12460342,CHLiN2,[Li+].[CH-]=[N+]=[N-],48.0,2,0,2.0,4,29.0,-2.7444979245,-2.7446084423,-2.7446084423,-2.7445531834,0.0001105178,train
13351308,C2H5Na,C[CH2-].[Na+],52.05,1,0,0.0,3,2.8,-2.9139792019,-2.9126926506,-2.9139792019,-2.91333592625,0.0012865512999997,train
58153045,C2H4KN,CN=[CH-].[K+],81.16,2,0,12.4,4,13.5,-2.976632636,-2.9787112302,-2.9787112302,-2.9776719331,0.0020785942000003,train
167376163,CH3BNNa,B(=[N-])C.[Na+],62.84,1,0,1.0,4,15.5,-2.9015304259,-2.9048120269,-2.9048120269,-2.9031712264,0.0032816009999998,train
140587702,CH2NRb,C=[N-].[Rb+],113.501,1,0,1.0,3,4.8,-2.6718209457,-2.670677063,-2.6718209457,-2.67124900435,0.0011438827,train
12368256,C2H4LiN,[Li+].C1C[N-]1,49.0,1,0,1.0,4,13.5,-2.9887771647,-2.9875292862,-2.9887771647,-2.98815322545,0.0012478785000005,train
140361553,BrORb,[O-]Br.[Rb+],181.37,1,0,23.1,3,4.8,-2.3529604749,-2.3537624468,-2.3537624468,-2.3533614608500004,0.0008019719,train
129710093,CHB2Li,[Li+].[B][CH-][B],41.6,1,0,0.0,4,6.0,-2.6371148645,-2.6410718543,-2.6410718543,-2.6390933594000003,0.0039569898000002,train
162781858,HNaO3,OO[O-].[Na+],71.996,3,1,52.5,4,3.2,-2.601324234,-2.5982604807,-2.601324234,-2.59979235735,0.0030637532999997,train
59341893,CH5BNNa,[B-](C)N.[Na+],64.86,2,1,26.0,4,8.0,-3.0474237024,-3.0458680807,-3.0474237024,-3.04664589155,0.0015556217000001,train
13005318,CHN2Na,C(=N)=[N-].[Na+],64.022,2,1,24.9,4,29.0,-2.7839364828,-2.7852999294,-2.7852999294,-2.7846182061,0.0013634466,val
