seed,fold,RMSE,MAE,R2
42,0,0.13133402168750763,0.10210622847080231,0.6881210207939148
42,1,0.11226069182157516,0.09293443709611893,0.7721300721168518
42,2,0.12774860858917236,0.09815824776887894,0.7049171924591064
42,3,0.1107647567987442,0.08897952735424042,0.7781625986099243
42,4,0.1311819702386856,0.10219414532184601,0.6888427734375
123,0,0.13469335436820984,0.10954762995243073,0.4534243941307068
123,1,0.13460570573806763,0.10703036934137344,0.45413559675216675
123,2,0.13275988399982452,0.10991813242435455,0.46900349855422974
123,3,0.1282125562429428,0.10502249002456665,0.5047563314437866
123,4,0.1551530659198761,0.1222027987241745,0.2747653126716614
456,0,0.14995619654655457,0.10888709872961044,0.327684223651886
456,1,0.16083064675331116,0.12274312973022461,0.22663938999176025
456,2,0.15032054483890533,0.11791897565126419,0.3244132995605469
456,3,0.17858532071113586,0.1371307671070099,0.04646646976470947
456,4,0.18243807554244995,0.14190277457237244,0.004880070686340332
