case_id,case_type,CID,variant_idx,SMILES_variant,prediction,true,abs_error,n_unique_variants,variant_prediction_std,variant_prediction_range
cid_23718351_1,largest-error failure,23718351,0,[B-]OC.[Na+],-2.626293659210205,-2.8372433,0.21094964078979483,4,0.19397517238479803,0.4920516014099121
cid_23718351_1,largest-error failure,23718351,1,CO[B-].[Na+],-2.682734727859497,-2.8372433,0.15450857214050284,4,0.19397517238479803,0.4920516014099121
cid_23718351_1,largest-error failure,23718351,2,O(C)[B-].[Na+],-2.8946542739868164,-2.8372433,0.057410973986816494,4,0.19397517238479803,0.4920516014099121
cid_23718351_1,largest-error failure,23718351,3,O([B-])C.[Na+],-3.118345260620117,-2.8372433,0.2811019606201173,4,0.19397517238479803,0.4920516014099121
cid_140455213_2,halogen failure,140455213,0,[Li+].[O-]I,-2.6578943729400635,-2.3536925,0.3042018729400633,2,0.031063199043273926,0.06212639808654785
cid_140455213_2,halogen failure,140455213,1,I[O-].[Li+],-2.7200207710266113,-2.3536925,0.36632827102661114,2,0.031063199043273926,0.06212639808654785
cid_159330689_3,additional high-error failure,159330689,0,[BH3-]I.[Na+],-2.797968626022339,-2.5872622,0.2107064260223388,2,0.026791095733642578,0.053582191467285156
cid_159330689_3,additional high-error failure,159330689,1,I[BH3-].[Na+],-2.851550817489624,-2.5872622,0.26428861748962396,2,0.026791095733642578,0.053582191467285156
cid_58676901_4,additional high-error failure,58676901,0,[B][C-]=N.[Na+],-2.742565155029297,-2.6941605,0.048404655029296695,4,0.057201735562560946,0.14026308059692383
cid_58676901_4,additional high-error failure,58676901,1,N=[C-][B].[Na+],-2.6892893314361572,-2.6941605,0.004871168563842954,4,0.057201735562560946,0.14026308059692383
cid_58676901_4,additional high-error failure,58676901,2,[C-](=N)[B].[Na+],-2.688599109649658,-2.6941605,0.005561390350341977,4,0.057201735562560946,0.14026308059692383
cid_58676901_4,additional high-error failure,58676901,3,[C-]([B])=N.[Na+],-2.828862190246582,-2.6941605,0.13470169024658185,4,0.057201735562560946,0.14026308059692383
cid_22960788_5,additional high-error failure,22960788,0,CO[O-].[Na+],-2.6501755714416504,-2.8260872,0.17591162855834952,4,0.1889321749522328,0.46487998962402344
cid_22960788_5,additional high-error failure,22960788,1,[Na+].[O-]OC,-2.6226677894592285,-2.8260872,0.2034194105407714,4,0.1889321749522328,0.46487998962402344
cid_22960788_5,additional high-error failure,22960788,2,O([O-])C.[Na+],-3.087547779083252,-2.8260872,0.26146057908325204,4,0.1889321749522328,0.46487998962402344
cid_22960788_5,additional high-error failure,22960788,3,O(C)[O-].[Na+],-2.8815009593963623,-2.8260872,0.055413759396362394,4,0.1889321749522328,0.46487998962402344
cid_58627710_6,additional high-error failure,58627710,0,[B]=[N-].[K+],-2.6572225093841553,-2.4553761,0.2018464093841552,2,0.036275506019592285,0.07255101203918457
cid_58627710_6,additional high-error failure,58627710,1,[K+].[N-]=[B],-2.5846714973449707,-2.4553761,0.12929539734497064,2,0.036275506019592285,0.07255101203918457
cid_58604523_7,additional high-error failure,58604523,0,C[CH-]N.[Rb+],-2.86456561088562,-3.1476333,0.28306768911437974,4,0.06948100845877703,0.17427992820739746
cid_58604523_7,additional high-error failure,58604523,1,N[CH-]C.[Rb+],-3.0388455390930176,-3.1476333,0.10878776090698228,4,0.06948100845877703,0.17427992820739746
cid_58604523_7,additional high-error failure,58604523,2,[CH-](N)C.[Rb+],-3.0104870796203613,-3.1476333,0.13714622037963853,4,0.06948100845877703,0.17427992820739746
cid_58604523_7,additional high-error failure,58604523,3,[CH-](C)N.[Rb+],-2.9220356941223145,-3.1476333,0.2255976058776854,4,0.06948100845877703,0.17427992820739746
cid_129740401_8,low-error success contrast,129740401,0,Cl[I-]Cl.[K+],-2.3512191772460938,-2.3511686,5.0577246093919115e-05,2,0.009717226028442383,0.019434452056884766
cid_129740401_8,low-error success contrast,129740401,1,[I-](Cl)Cl.[K+],-2.3706536293029785,-2.3511686,0.019485029302978685,2,0.009717226028442383,0.019434452056884766
