seed,CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_min,true,pred_mean,pred_std,error_mean,abs_error_mean,abs_error_max,folds,has_metal,has_halogen,has_formal_charge,has_oxygen
456,23718351,CH3BNaO,[B-]OC.[Na+],64.84,2,0,9.2,4,8.0,-2.8372432987,-2.8372433,-2.4792245399999997,0.054201263537375276,0.35801878,0.35801878,0.41533947,5,True,False,True,True
42,140455213,ILiO,[Li+].[O-]I,149.9,1,0,23.1,3,4.8,-2.3536924839,-2.3536925,-2.6489194599999997,0.05014972425061763,-0.295226954,0.295226954,0.3730166,5,True,True,True,True
456,159330689,BH3INa,[BH3-]I.[Na+],163.73,1,0,0.0,3,4.8,-2.5872621428,-2.5872622,-2.87917486,0.05970908036151605,-0.2919127,0.2919127,0.37489772,5,True,True,True,False
456,58676901,CHBNNa,[B][C-]=N.[Na+],60.83,2,1,23.9,4,15.5,-2.6941603502,-2.6941605,-2.9597092,0.05372475066591736,-0.265548752,0.265548752,0.34510398,5,True,False,True,False
123,22960788,CH3NaO2,CO[O-].[Na+],70.023,2,0,32.3,4,6.0,-2.8260873073,-2.8260872,-2.5634559,0.028492314552700133,0.262631324,0.262631324,0.30758095,5,True,False,True,True
456,58627710,BKN,[B]=[N-].[K+],63.92,1,0,1.0,3,4.8,-2.4553761895,-2.4553761,-2.7029639,0.00940381893966502,-0.24758777599999998,0.24758777599999998,0.25809526,5,True,False,True,False
42,58604523,C2H6NRb,C[CH-]N.[Rb+],129.54,2,1,26.0,4,6.0,-3.1476333473,-3.1476333,-2.91725946,0.03944761943993598,0.23037385999999999,0.23037385999999999,0.2829907,5,True,False,True,False
42,58825830,C3H6Rb,C[CH][CH2-].[Rb+],127.55,1,0,0.0,4,3.2,-3.1628836396000004,-3.1628838,-2.94464908,0.024404465702961037,0.21823468,0.21823468,0.237679,5,True,False,True,False
456,23670958,CH2INaO,C([O-])I.[Na+],179.92,1,0,23.1,4,8.0,-2.7001463825000003,-2.7001464,-2.9088852,0.01877342743720506,-0.20873875599999997,0.20873875599999997,0.23047233,5,True,True,True,True
123,12605453,CH4LiN,[Li+].C[NH-],37.0,1,1,1.0,3,4.8,-2.8379876545,-2.8379877,-3.04392548,0.023818577729726027,-0.205937816,0.205937816,0.22613788,5,True,False,True,False
456,100982396,C2H3LiN-,[Li].[CH]=C[NH-],48.0,1,1,1.0,4,10.3,-2.9060622562,-2.9060624,-2.7012712399999996,0.03272664918698498,0.204791116,0.204791116,0.25070953,5,True,False,True,False
123,11332549,CH2ILi,[Li+].[CH2-]I,147.9,1,0,0.0,3,4.8,-2.5385478043000003,-2.5385478,-2.73770734,0.032664293146921264,-0.199159572,0.199159572,0.21924901,5,True,True,True,False
123,58529206,CH3IKN,C([NH-])I.[K+],195.044,1,1,1.0,4,8.0,-2.8055078261,-2.805508,-3.00225776,0.04004892513355398,-0.196749876,0.196749876,0.23079538,5,True,True,True,False
123,58997489,CH2BLi,[Li+].[B][CH2-],31.8,1,0,0.0,3,4.8,-2.6158991087,-2.615899,-2.81248584,0.07347352056396242,-0.196586752,0.196586752,0.30912924,5,True,False,True,False
456,10887816,C2H5LiO,[Li+].CO[CH2-],52.0,2,0,9.2,4,6.0,-3.0341373862,-3.0341375,-2.84436648,0.06397617319539359,0.18977103199999998,0.18977103199999998,0.2806468,5,True,False,True,True
123,160055680,C2H8BNa,[BH3-]CC.[Na+],65.89,1,0,0.0,4,6.0,-3.2708419482,-3.2708418000000004,-3.0868956400000003,0.04756965813218554,0.18394618000000001,0.18394618000000001,0.25187087,5,True,False,True,False
42,59091021,BH2O2Rb,[B-](O)O.[Rb+],130.3,3,2,40.5,4,6.0,-2.7821422277,-2.7821422,-2.6015437599999998,0.04779004658794558,0.180598404,0.180598404,0.2530377,5,True,False,True,True
