seed,fold,RMSE,MAE,R2
42,0,0.1469200998544693,0.1086856871843338,0.6097040176391602
42,1,0.1354963779449463,0.10383398085832596,0.668039083480835
42,2,0.16075360774993896,0.12526878714561462,0.5327460169792175
42,3,0.1359928995370865,0.10126394778490067,0.6656016707420349
42,4,0.1756914108991623,0.1371583640575409,0.4418734908103943
123,0,0.1390555053949356,0.1094285249710083,0.41744858026504517
123,1,0.1282290518283844,0.10470420122146606,0.5046287775039673
123,2,0.14360126852989197,0.111862413585186,0.3787384629249573
123,3,0.1459486335515976,0.12380213290452957,0.35826170444488525
123,4,0.15083244442939758,0.11842386424541473,0.31459468603134155
456,0,0.13836804032325745,0.10856837779283524,0.427578330039978
456,1,0.16172216832637787,0.12931057810783386,0.21804171800613403
456,2,0.1491471529006958,0.11920216679573059,0.3349192142486572
456,3,0.19295251369476318,0.15086741745471954,-0.11312854290008545
456,4,0.15610308945178986,0.12044775485992432,0.2714364528656006
