model_no_aug,CID,Formula,original_SMILES,prediction_std_no_aug,prediction_range_no_aug,mean_abs_variant_delta_no_aug,max_abs_variant_delta_no_aug,model_aug,prediction_std_aug,prediction_range_aug,mean_abs_variant_delta_aug,max_abs_variant_delta_aug,std_reduction_aug_vs_no_aug,range_reduction_aug_vs_no_aug
No Aug + Two-stage,59091021,BH2O2Rb,[B-](O)O.[Rb+],0.14670300483703613,0.29340600967407227,0.14670300483703613,0.29340600967407227,Aug + Two-stage,0.028014540672302246,0.05602908134460449,0.028014540672302246,0.05602908134460449,0.11868846416473389,0.23737692832946777
No Aug + Two-stage,59673869,C2H4NRb,C[C-]=N.[Rb+],0.18812085334204093,0.4777500629425049,0.16279125213623047,0.4369328022003174,Aug + Two-stage,0.12448873967095643,0.32602953910827637,0.11368036270141602,0.20366787910461426,0.0636321136710845,0.15172052383422852
No Aug + Two-stage,153488305,BFNa,[B-]F.[Na+],0.17584443092346191,0.35168886184692383,0.17584443092346191,0.35168886184692383,Aug + Two-stage,0.11680221557617188,0.23360443115234375,0.11680221557617188,0.23360443115234375,0.05904221534729004,0.11808443069458008
No Aug + Two-stage,161111143,BClH3Na,[BH3-]Cl.[Na+],0.09821176528930664,0.19642353057861328,0.09821176528930664,0.19642353057861328,Aug + Two-stage,0.05151486396789551,0.10302972793579102,0.05151486396789551,0.10302972793579102,0.04669690132141113,0.09339380264282227
No Aug + Two-stage,58604523,C2H6NRb,C[CH-]N.[Rb+],0.11290815017508775,0.29842543601989746,0.07980376482009888,0.23865199089050293,Aug + Two-stage,0.06948112115150043,0.17428016662597656,0.0944179892539978,0.17428016662597656,0.04342702902358732,0.1241452693939209
No Aug + Two-stage,140455213,ILiO,[Li+].[O-]I,0.07062947750091553,0.14125895500183105,0.07062947750091553,0.14125895500183105,Aug + Two-stage,0.031063199043273926,0.06212639808654785,0.031063199043273926,0.06212639808654785,0.0395662784576416,0.0791325569152832
No Aug + Two-stage,158336150,C2H4IK,C[CH-]I.[K+],0.18509398446096925,0.5184040069580078,0.13359326124191284,0.31758761405944824,Aug + Two-stage,0.14857972819546686,0.36304569244384766,0.14245164394378662,0.31695985794067383,0.03651425626550239,0.15535831451416016
No Aug + Two-stage,19607366,C2BrLi,[Li+].[C-]#CBr,0.13541312288125087,0.35892605781555176,0.13761630058288574,0.22908592224121094,Aug + Two-stage,0.10281655170402888,0.321941614151001,0.07323002815246582,0.16836953163146973,0.03259657117722199,0.03698444366455078
No Aug + Two-stage,129646904,CH3N2Na,[C-](=N)N.[Na+],0.08115124075476024,0.22624683380126953,0.059605538845062256,0.14517569541931152,Aug + Two-stage,0.04993727539173105,0.1380760669708252,0.038506388664245605,0.07881808280944824,0.031213965363029193,0.08817076683044434
No Aug + Two-stage,129740401,Cl2IK,Cl[I-]Cl.[K+],0.03776884078979492,0.07553768157958984,0.03776884078979492,0.07553768157958984,Aug + Two-stage,0.009717106819152832,0.019434213638305664,0.009717106819152832,0.019434213638305664,0.02805173397064209,0.05610346794128418
